,precision,recall,f1-score,support
10197,1.0,0.97,0.9847715736040609,100.0
10201,0.9333333333333333,0.98,0.9560975609756097,100.0
10314,0.9117647058823529,0.93,0.9207920792079208,100.0
10928,0.9897959183673469,0.97,0.9797979797979798,100.0
11090,0.970873786407767,1.0,0.9852216748768473,100.0
11153,0.8666666666666667,0.91,0.8878048780487805,100.0
11211,0.9292929292929293,0.92,0.9246231155778895,100.0
11212,0.98,0.98,0.98,100.0
11213,1.0,1.0,1.0,100.0
11214,0.9801980198019802,0.99,0.9850746268656716,100.0
11215,1.0,0.97,0.9847715736040609,100.0
11272,0.9900990099009901,1.0,0.9950248756218906,100.0
11458,0.9693877551020408,0.95,0.9595959595959594,100.0
11476,0.908256880733945,0.99,0.9473684210526316,100.0
11477,0.7394957983193278,0.88,0.8036529680365297,100.0
11478,0.9591836734693877,0.94,0.9494949494949495,100.0
120493,0.9591836734693877,0.94,0.9494949494949495,100.0
131673,0.9438202247191011,0.84,0.888888888888889,100.0
13349,0.98989898989899,0.98,0.9849246231155778,100.0
13547,0.9895833333333334,0.95,0.9693877551020408,100.0
13548,0.9191919191919192,0.91,0.9145728643216081,100.0
13731,0.9489795918367347,0.93,0.9393939393939393,100.0
14395,1.0,0.96,0.9795918367346939,100.0
14417,0.9705882352941176,0.99,0.9801980198019802,100.0
14419,0.9803921568627451,1.0,0.99009900990099,100.0
14704,0.98,0.98,0.98,100.0
14716,0.8425925925925926,0.91,0.8749999999999999,100.0
14720,0.99,0.99,0.99,100.0
14769,0.9479166666666666,0.91,0.9285714285714285,100.0
15068,0.8083333333333333,0.97,0.8818181818181818,100.0
15070,0.9423076923076923,0.98,0.9607843137254902,100.0
15092,0.9690721649484536,0.94,0.9543147208121826,100.0
15100,0.9797979797979798,0.97,0.9748743718592964,100.0
15254,0.941747572815534,0.97,0.9556650246305418,100.0
15332,0.98989898989899,0.98,0.9849246231155778,100.0
15379,1.0,1.0,1.0,100.0
15395,0.9896907216494846,0.96,0.9746192893401014,100.0
15397,1.0,1.0,1.0,100.0
15460,0.970873786407767,1.0,0.9852216748768473,100.0
15461,1.0,1.0,1.0,100.0
15470,0.96,0.96,0.96,100.0
15535,0.941747572815534,0.97,0.9556650246305418,100.0
15573,0.9595959595959596,0.95,0.9547738693467336,100.0
15672,0.98,0.98,0.98,100.0
15706,1.0,0.98,0.98989898989899,100.0
15712,0.9473684210526315,0.9,0.9230769230769231,100.0
158788,0.8913043478260869,0.82,0.8541666666666666,100.0
15967,0.99,0.99,0.99,100.0
16577,0.9897959183673469,0.97,0.9797979797979798,100.0
17114,1.0,0.95,0.9743589743589743,100.0
17485,0.9595959595959596,0.95,0.9547738693467336,100.0
18649,1.0,0.99,0.9949748743718593,100.0
18651,0.9801980198019802,0.99,0.9850746268656716,100.0
18653,0.9693877551020408,0.95,0.9595959595959594,100.0
18674,0.9333333333333333,0.98,0.9560975609756097,100.0
18838,1.0,0.99,0.9949748743718593,100.0
18969,0.9803921568627451,1.0,0.99009900990099,100.0
19159,0.9801980198019802,0.99,0.9850746268656716,100.0
20896,0.99,0.99,0.99,100.0
21229,0.98989898989899,0.98,0.9849246231155778,100.0
216731,0.9803921568627451,1.0,0.99009900990099,100.0
22385,1.0,0.92,0.9583333333333334,100.0
22388,0.9509803921568627,0.97,0.9603960396039604,100.0
22390,0.9900990099009901,1.0,0.9950248756218906,100.0
22391,1.0,0.98,0.98989898989899,100.0
22885,0.9361702127659575,0.88,0.9072164948453608,100.0
22888,0.9897959183673469,0.97,0.9797979797979798,100.0
22889,0.9797979797979798,0.97,0.9748743718592964,100.0
22890,0.98989898989899,0.98,0.9849246231155778,100.0
22961,0.9795918367346939,0.96,0.9696969696969697,100.0
2357,0.9574468085106383,0.9,0.9278350515463918,100.0
239356,1.0,1.0,1.0,100.0
24014,1.0,1.0,1.0,100.0
24122,0.9801980198019802,0.99,0.9850746268656716,100.0
2412b,0.98,0.98,0.98,100.0
2419,0.99,0.99,0.99,100.0
2420,1.0,0.98,0.98989898989899,100.0
242434,0.979381443298969,0.95,0.9644670050761421,100.0
24246,0.9306930693069307,0.94,0.9353233830845772,100.0
24299,0.9405940594059405,0.95,0.9452736318407959,100.0
24316,0.9081632653061225,0.89,0.8989898989898989,100.0
24375,0.9896907216494846,0.96,0.9746192893401014,100.0
2441,0.9900990099009901,1.0,0.9950248756218906,100.0
2445,0.8504672897196262,0.91,0.8792270531400966,100.0
2450,0.99,0.99,0.99,100.0
24505,1.0,0.99,0.9949748743718593,100.0
2453b,0.831858407079646,0.94,0.8826291079812206,100.0
2454,0.9157894736842105,0.87,0.8923076923076922,100.0
2456,0.9306930693069307,0.94,0.9353233830845772,100.0
2460,0.96,0.96,0.96,100.0
2476a,0.941747572815534,0.97,0.9556650246305418,100.0
2486,1.0,0.98,0.98989898989899,100.0
24866,0.979381443298969,0.95,0.9644670050761421,100.0
2540,0.99,0.99,0.99,100.0
254579,0.9791666666666666,0.94,0.9591836734693877,100.0
26047,0.9803921568627451,1.0,0.99009900990099,100.0
2639,1.0,0.98,0.98989898989899,100.0
2654,0.9245283018867925,0.98,0.9514563106796116,100.0
26601,0.9056603773584906,0.96,0.9320388349514563,100.0
26604,0.7735849056603774,0.82,0.796116504854369,100.0
267165,0.9166666666666666,0.88,0.8979591836734694,100.0
27255,0.9900990099009901,1.0,0.9950248756218906,100.0
27262,1.0,1.0,1.0,100.0
27266,0.9900990099009901,1.0,0.9950248756218906,100.0
2730,0.967391304347826,0.89,0.9270833333333334,100.0
2736,0.98989898989899,0.98,0.9849246231155778,100.0
274829,0.941747572815534,0.97,0.9556650246305418,100.0
27940,0.9900990099009901,1.0,0.9950248756218906,100.0
2853,0.9803921568627451,1.0,0.99009900990099,100.0
2854,0.9333333333333333,0.98,0.9560975609756097,100.0
28653,0.8545454545454545,0.94,0.8952380952380952,100.0
2877,0.98989898989899,0.98,0.9849246231155778,100.0
2904,1.0,0.99,0.9949748743718593,100.0
2926,0.9514563106796117,0.98,0.9655172413793104,100.0
292629,0.941747572815534,0.97,0.9556650246305418,100.0
296435,0.9775280898876404,0.87,0.9206349206349206,100.0
30000,0.9603960396039604,0.97,0.9651741293532338,100.0
3001,0.9489795918367347,0.93,0.9393939393939393,100.0
3002,0.9247311827956989,0.86,0.8911917098445595,100.0
3003,0.9340659340659341,0.85,0.8900523560209425,100.0
3004,0.7016129032258065,0.87,0.7767857142857143,100.0
30044,0.9611650485436893,0.99,0.9753694581280788,100.0
30046,1.0,0.97,0.9847715736040609,100.0
3005,0.689922480620155,0.89,0.7772925764192139,100.0
30069,0.945054945054945,0.86,0.9005235602094239,100.0
3008,0.7948717948717948,0.93,0.8571428571428572,100.0
3009,0.9285714285714286,0.91,0.9191919191919193,100.0
30099,0.9705882352941176,0.99,0.9801980198019802,100.0
3010,0.8173913043478261,0.94,0.8744186046511627,100.0
30136,0.9158878504672897,0.98,0.9468599033816426,100.0
30157,1.0,0.96,0.9795918367346939,100.0
30165,0.9411764705882353,0.96,0.9504950495049505,100.0
3020,0.9285714285714286,0.91,0.9191919191919193,100.0
3021,0.9791666666666666,0.94,0.9591836734693877,100.0
3022,0.84375,0.81,0.826530612244898,100.0
30237b,0.9302325581395349,0.8,0.8602150537634408,100.0
3024,0.8969072164948454,0.87,0.883248730964467,100.0
3028,0.9423076923076923,0.98,0.9607843137254902,100.0
3031,0.98989898989899,0.98,0.9849246231155778,100.0
3032,0.9514563106796117,0.98,0.9655172413793104,100.0
3033,0.9791666666666666,0.94,0.9591836734693877,100.0
3034,0.9150943396226415,0.97,0.9417475728155339,100.0
3035,1.0,0.98,0.98989898989899,100.0
30357,0.97,0.97,0.97,100.0
30361c,0.979381443298969,0.95,0.9644670050761421,100.0
30363,0.9326923076923077,0.97,0.9509803921568627,100.0
30367c,0.8839285714285714,0.99,0.9339622641509434,100.0
3037,0.96875,0.93,0.9489795918367346,100.0
3038,0.9777777777777777,0.88,0.9263157894736842,100.0
30387,0.9897959183673469,0.97,0.9797979797979798,100.0
3040b,0.8712871287128713,0.88,0.8756218905472637,100.0
30414,0.925531914893617,0.87,0.8969072164948454,100.0
3045,0.9090909090909091,0.8,0.8510638297872342,100.0
30503,0.9803921568627451,1.0,0.99009900990099,100.0
30552,0.9504950495049505,0.96,0.9552238805970149,100.0
30553,0.9896907216494846,0.96,0.9746192893401014,100.0
30565,1.0,1.0,1.0,100.0
3062,0.9,0.99,0.9428571428571428,100.0
3068,0.8,0.76,0.7794871794871796,100.0
3069b,0.7431192660550459,0.81,0.7751196172248804,100.0
3070b,0.8118811881188119,0.82,0.8159203980099502,100.0
3185,1.0,0.96,0.9795918367346939,100.0
32000,0.9894736842105263,0.94,0.964102564102564,100.0
32002,0.9789473684210527,0.93,0.9538461538461539,100.0
32013,0.9690721649484536,0.94,0.9543147208121826,100.0
32016,0.9578947368421052,0.91,0.9333333333333333,100.0
32017,0.9789473684210527,0.93,0.9538461538461539,100.0
32028,0.9423076923076923,0.98,0.9607843137254902,100.0
32034,0.9313725490196079,0.95,0.9405940594059405,100.0
32039,0.98989898989899,0.98,0.9849246231155778,100.0
32054,0.9896907216494846,0.96,0.9746192893401014,100.0
32056,1.0,0.98,0.98989898989899,100.0
32059,1.0,1.0,1.0,100.0
32062,1.0,0.99,0.9949748743718593,100.0
32064a,0.968421052631579,0.92,0.9435897435897437,100.0
32073,0.8446601941747572,0.87,0.8571428571428571,100.0
32123b,0.98989898989899,0.98,0.9849246231155778,100.0
32124,1.0,0.99,0.9949748743718593,100.0
32140,0.967032967032967,0.88,0.9214659685863875,100.0
32184,1.0,0.96,0.9795918367346939,100.0
32187,0.9611650485436893,0.99,0.9753694581280788,100.0
32192,0.853448275862069,0.99,0.9166666666666666,100.0
32198,1.0,1.0,1.0,100.0
32250,1.0,1.0,1.0,100.0
32291,0.96,0.96,0.96,100.0
32316,0.8899082568807339,0.97,0.9282296650717704,100.0
32348,0.9897959183673469,0.97,0.9797979797979798,100.0
3245,0.7931034482758621,0.92,0.851851851851852,100.0
32526,0.9108910891089109,0.92,0.9154228855721394,100.0
32529,0.9893617021276596,0.93,0.9587628865979382,100.0
32530,0.96,0.96,0.96,100.0
32557,0.9801980198019802,0.99,0.9850746268656716,100.0
32828,1.0,0.98,0.98989898989899,100.0
32932,1.0,0.98,0.98989898989899,100.0
3298,0.9574468085106383,0.9,0.9278350515463918,100.0
33291,0.9702970297029703,0.98,0.9751243781094527,100.0
33299b,1.0,0.99,0.9949748743718593,100.0
33909,0.7758620689655172,0.9,0.8333333333333334,100.0
3460,0.8476190476190476,0.89,0.8682926829268293,100.0
35044,1.0,0.97,0.9847715736040609,100.0
3622,0.8053097345132744,0.91,0.8544600938967136,100.0
3623,0.9381443298969072,0.91,0.9238578680203046,100.0
3633,0.941747572815534,0.97,0.9556650246305418,100.0
3639,0.98,0.98,0.98,100.0
3640,0.9897959183673469,0.97,0.9797979797979798,100.0
3659,0.9405940594059405,0.95,0.9452736318407959,100.0
3660,0.8910891089108911,0.9,0.8955223880597015,100.0
3665,0.8392857142857143,0.94,0.8867924528301886,100.0
3666,0.9183673469387755,0.9,0.9090909090909091,100.0
3673,0.9791666666666666,0.94,0.9591836734693877,100.0
3676,0.9690721649484536,0.94,0.9543147208121826,100.0
3679,0.9615384615384616,1.0,0.9803921568627451,100.0
3680,0.9801980198019802,0.99,0.9850746268656716,100.0
36840,0.978021978021978,0.89,0.9319371727748691,100.0
36841,0.9117647058823529,0.93,0.9207920792079208,100.0
3700,0.8962264150943396,0.95,0.9223300970873787,100.0
3701,0.9702970297029703,0.98,0.9751243781094527,100.0
3705,0.7657657657657657,0.85,0.8056872037914692,100.0
3706,0.7821782178217822,0.79,0.7860696517412936,100.0
3707,0.744,0.93,0.8266666666666667,100.0
3710,0.95,0.95,0.9500000000000001,100.0
3713,0.9705882352941176,0.99,0.9801980198019802,100.0
374125,0.98,0.98,0.98,100.0
3747b,0.96875,0.93,0.9489795918367346,100.0
3795,0.989010989010989,0.9,0.9424083769633509,100.0
3832,0.9080459770114943,0.79,0.8449197860962566,100.0
3895,0.9038461538461539,0.94,0.9215686274509804,100.0
392043,0.9292929292929293,0.92,0.9246231155778895,100.0
3941,0.9368421052631579,0.89,0.9128205128205129,100.0
3942c,0.9587628865979382,0.93,0.9441624365482233,100.0
3957,0.9603960396039604,0.97,0.9651741293532338,100.0
3958,0.9896907216494846,0.96,0.9746192893401014,100.0
39739,0.9897959183673469,0.97,0.9797979797979798,100.0
4032a,0.9423076923076923,0.98,0.9607843137254902,100.0
40490,0.9090909090909091,0.9,0.9045226130653266,100.0
4073,0.9032258064516129,0.84,0.8704663212435233,100.0
4081b,1.0,0.96,0.9795918367346939,100.0
4083,0.98989898989899,0.98,0.9849246231155778,100.0
40902,0.9789473684210527,0.93,0.9538461538461539,100.0
413097,0.8737864077669902,0.9,0.8866995073891626,100.0
41530,1.0,1.0,1.0,100.0
41532,0.99,0.99,0.99,100.0
4162,0.8113207547169812,0.86,0.8349514563106797,100.0
41677,0.9514563106796117,0.98,0.9655172413793104,100.0
41678,0.9795918367346939,0.96,0.9696969696969697,100.0
41682,0.9292929292929293,0.92,0.9246231155778895,100.0
41740,0.99,0.99,0.99,100.0
41747,0.9494949494949495,0.94,0.9447236180904524,100.0
41748,0.8909090909090909,0.98,0.9333333333333333,100.0
41762,0.9591836734693877,0.94,0.9494949494949495,100.0
41768,0.9893617021276596,0.93,0.9587628865979382,100.0
41769,0.9705882352941176,0.99,0.9801980198019802,100.0
41770,0.96,0.96,0.96,100.0
4185,1.0,0.99,0.9949748743718593,100.0
42003,0.9705882352941176,0.99,0.9801980198019802,100.0
